Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  3.73      1.19     1.19                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:30 @ ba2c)
  0.03     31.44     0.01                             N(int, double, double) (terms.cpp:19 @ 10490)
  0.03     31.45     0.01                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:31 @ a79a)
  0.03     31.46     0.01                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:29 @ b735)
  0.03     31.47     0.01                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:31 @ b857)
  0.03     31.48     0.01                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:31 @ ba7c)
  0.03     31.49     0.01                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:29 @ c10a)
  0.03     31.50     0.01                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:30 @ c174)
  0.03     31.51     0.01                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:31 @ cb02)
  0.03     31.52     0.01                             CosInt(int, double, double, std::vector<double, std::allocator<double> > const&, int) (terms.cpp:51 @ ab62)
  0.03     31.53     0.01                             CosInt(int, double, double, std::vector<double, std::allocator<double> > const&, int) (stl_vector.h:671 @ ad0e)
  0.03     31.54     0.01                             CosInt(int, double, double, std::vector<double, std::allocator<double> > const&, int) (stl_algobase.h:224 @ b290)
  0.03     31.55     0.01                             SinInt(int, double, double, std::vector<double, std::allocator<double> > const&, int) (terms.cpp:69 @ b593)
  0.03     31.56     0.01                             SinInt(int, double, double, std::vector<double, std::allocator<double> > const&, int) (stl_algobase.h:224 @ b5a9)
  0.03     31.57     0.01                             dSinInt(int, int, double, double, std::vector<double, std::allocator<double> > const&, int) (terms.cpp:105 @ c453)
  0.03     31.58     0.01                             dSinInt(int, int, double, double, std::vector<double, std::allocator<double> > const&, int) (terms.cpp:19 @ ca12)
  0.03     31.59     0.01                             dSinInt(int, int, double, double, std::vector<double, std::allocator<double> > const&, int) (terms.cpp:110 @ ff47)
  0.03     31.60     0.01                             double Integral_<double (double, int, double, std::vector<double, std::allocator<double> > const&), &(SinIntIntegrand(double, int, double, std::vector<double, std::allocator<double> > const&)), int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:17 @ b5e1)
  0.03     31.61     0.01                             double Integral_<double (double, int, double, std::vector<double, std::allocator<double> > const&), &(SinIntIntegrand(double, int, double, std::vector<double, std::allocator<double> > const&)), int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:21 @ b9ba)
  0.03     31.62     0.01                             double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:19 @ d265)
  0.03     31.63     0.01                             double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:20 @ d268)
  0.03     31.64     0.01                             double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:21 @ f7d1)
  0.03     31.65     0.01                             double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:20 @ f7d5)
  0.03     31.66     0.01                             double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dCosIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:19 @ f828)
  0.03     31.67     0.01                             double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dSinIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:17 @ c4b7)
  0.03     31.68     0.01                             double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dSinIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:20 @ c5d5)
  0.03     31.69     0.01                             double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dSinIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:21 @ c828)
  0.03     31.70     0.01                             double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dSinIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:21 @ c832)
  0.03     31.71     0.01                             double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dSinIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:21 @ c83c)
  0.03     31.72     0.01                             double Integral_<double (double, int, int, double, std::vector<double, std::allocator<double> > const&), &(dSinIntIntegrand(double, int, int, double, std::vector<double, std::allocator<double> > const&)), int&, int&, double&, std::vector<double, std::allocator<double> > const&>(double, double, int, int&, int&, double&, std::vector<double, std::allocator<double> > const&) (integral.h:20 @ 102c0)
  0.03     31.73     0.01                             double Integral_<double (double, int, int, int, double, std::vector<double, std::allocator<double> >&, int), &(BIntegrand(double, int, int, int, double, std::vector<double, std::allocator<double> >&, int)), int&, int&, int&, double&, std::vector<double, std::allocator<double> >&, int&>(double, double, int, int&, int&, int&, double&, std::vector<double, std::allocator<double> >&, int&) (integral.h:21 @ f890)
  0.03     31.74     0.01                             double Integral_<double (double, int, int, int, double, std::vector<double, std::allocator<double> >&, int), &(BIntegrand(double, int, int, int, double, std::vector<double, std::allocator<double> >&, int)), int&, int&, int&, double&, std::vector<double, std::allocator<double> >&, int&>(double, double, int, int&, int&, int&, double&, std::vector<double, std::allocator<double> >&, int&) (integral.h:20 @ f899)
  0.03     31.75     0.01                             alglib_impl::ae_trunc(double, alglib_impl::ae_state*) (ap.cpp:2501 @ 17d90)
